"Company Name","Booth","Website","City, State, Country","Descriptions","Categories","Brands"
"100 Organic Place",2220,"http://www.bigtreeorganic.com","Turlock,  CA, United States","100 Organic Place, proud supplier of high quality organic almonds from Europe, is pleased to announce a new relationship with Big Tree Organic Farms, a major supplier of organic almonds from California family farms. With this new relationship comes increased ability to provide an organic almond solution for any need - whole and natural or ingredient. All our almonds come from growers committed to high quality, certified organic farming - the foundation of a reliable and sustainable supply chain.","bulk nuts/seeds, organic bulk foods, organic bulk ingredients, confections/desserts, nut butters, snacks","Big Tree Organic Farms 100 Organic Place"
"10th Avenue Tea","N636","http://www.10thavenuetea.com","La Grange,  IL, United States","10th Avenue Tea was founded by two tea-loving, tree-hugging, entrepreneurial moms inspired to provide busy tea lovers just like them with a convenient, natural and eco friendly way to enjoy their favorite beverage. They found an innovative way to achieve those goals in the form of our U.S. patent-pending product. The recyclable shaker bottle & biodegradable stick packs allow the customer to enjoy tea hot or iced instantly anywhere plus 10th Ave Teas are 100% natural & have 0 calories & 0 sugar.","bulk tea, dairy-free products, functional beverages, herbal teas, kosher/parve products, tea, vegan foods, gluten/wheat/yeast-free products","10th Avenue Tea is a line of delicious instant tea powders delivered in gorgeous recyclable shaker bottles, biodegradable single serve stick packs, biodegradable instant brew cups or bulk bags."
"1907 Water NZ Ltd","N106","https://www.1907water.com","Auckland,  N/A, New Zealand",,"bottled waters","1907 New Zealand Artesian Water"
"1908 Brands",5606,"http://www.BoulderClean.com","Boulder,  CO, United States","At 1908 Brands(r) we envision a world where consumers no longer have to sacrifice what is good for their home with what is good for their environment. We envision an eco-oriented consumer audience becoming the mainstream to demand performance, selection and availability. We currently manage two eco-friendly brands: Boulder(r) Clean & CompoKeeper(r) offer healthy solutions for the air, water, pets, and people within your home.","cleaning/laundry supplies, environmental games/products, full line of non-foods, housewares, kitchen/bath accessories, baby care, essential oils/fragrances, soap, full line supplies, institutional cleaning supplies","Boulder Clean"
"22 Days Nutrition",110,"http://www.22daysnutrition.com/","Miami,  FL, United States","22 Days Nutrition products inspire through taste, attitude, and a global conscience. The belief is that foods made of the best ingredients should satisfy not only the body, but also the spirit. We believe that the right attitude and approach to healthy living can positively affect the world. All of our products are USDA Organic, Plant-Based, Non-GMO, Gluten-Free, Dairy-Free.","dairy-free products, functional food, snack bars, vegan foods, gluten/wheat/yeast-free products, diet products, energy bars, nutritional supplements, organic energy bars, sports and fitness products","22 Days Nutrition (Energy & Protein bars  Protein Powders)"
"22 Days Nutrition",109,"http://www.22daysnutrition.com/","Miami,  FL, United States","22 Days Nutrition products inspire through taste, attitude, and a global conscience. The belief is that foods made of the best ingredients should satisfy not only the body, but also the spirit. We believe that the right attitude and approach to healthy living can positively affect the world. All of our products are USDA Organic, Plant-Based, Non-GMO, Gluten-Free, Dairy-Free.","dairy-free products, functional food, snack bars, vegan foods, gluten/wheat/yeast-free products, diet products, energy bars, nutritional supplements, organic energy bars, sports and fitness products","22 Days Nutrition (Energy & Protein bars  Protein Powders)"
"24 Hour Health",9401,"http://www.24hourhealth.com","West Palm Beach,  FL, United States","JOIN THE VITAMIN REVOLUTION! 24 HOUR HEALTH * Daily liquid multivitamin containing 18 of only the best vitamins and minerals the market has to offer. As an additional plus, a prebiotic fiber complex, and Omega fatty acid blend have been added. Benefits of 24 Hour Health: * Increased Energy and Stamina * Stronger Immune System * Improved Skin and Nails * Healthier Hair * Improved Digestion * Optimal Vitality Key Features * Vegan Base * Multi-Fiber Blend * Non-GMO * Sugar Free * No Artificial Sweeteners","immune support, essential fatty acids, nutritional supplements, sports and fitness products, vitamin supplements","24 Hour Health Daily Liquid Multivitamin"
"24 Mantra Organic","N615","http://www.24mantra.com","Fremont,  CA, United States",,"organic bulk ingredients, full line organic grocery, organic beverages/juices, organic processed/packaged foods, packaged convenience foods",
"24Vegan",7600,"www.24Vegan.com","Arcadia,  CA, United States",,,
"3 Water","N1241","http://www.drink3water.com","Huntington,  NY, United States",,"bottled waters, functional beverages, kosher/parve products, organic beverages/juices, specialty/gourmet products, general food & beverage",
